Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.7,14187898,360,39410.8,39424.0,38368,40448,390.3,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.4,7829476,720,10874.3,10848.0,10368,11456,204.9,"void cuComputePartGradGammaBeta<float, float, float, (bool)0>(const T3 *, const T1 *, int, int, const T2 *, const T2 *, T2, const T3 *, const T3 *, T2 *, T2 *, double, bool)"
0.3,6860377,720,9528.3,9536.0,9184,9984,134.1,"void cuComputeGradInput<float, float, float, (bool)0>(const T3 *, const T1 *, int, int, const T2 *, const T2 *, T2, const T3 *, const T3 *, T1 *, double, bool)"
0.3,6611450,720,9182.6,9216.0,7712,10464,454.3,"void cuApplyLayerNorm<float, float, float>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *)"
0.2,4381395,360,12170.5,12096.0,11840,13728,222.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,3566125,60,59435.4,58928.0,36192,83873,23355.0,"void at::native::<unnamed>::embedding_backward_feature_kernel<float, float, long>(const T3 *, const T1 *, T1 *, int, long, int)"
0.1,1214085,720,1686.2,1696.0,1664,1728,16.6,"void cuComputeGradGammaBeta<float, float>(const T1 *, const T1 *, int, int, int, T2 *, T2 *, bool)"
0.0,794082,30,26469.4,26464.0,25888,26720,173.7,"void transformer_engine::normalization::ln_bwd_tuned_kernel<transformer_engine::normalization::Kernel_traits<float, float, float, float, unsigned int, (unsigned int)768, (unsigned int)1, (unsigned int)4, (unsigned int)1, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)768, float, float, float, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::BackwardKernelParams)"
0.0,676003,60,11266.7,9120.0,5024,18560,4901.8,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,389475,30,12982.5,12992.5,12576,13440,258.1,"void at::native::<unnamed>::nll_loss_forward_reduce_cuda_kernel_2d<float, float, long>(T1 *, T1 *, const T1 *, const T3 *, const T1 *, bool, long, long, long, long)"
0.0,259456,30,8648.5,8560.0,8032,9952,417.5,"void at::native::<unnamed>::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(T1 *, const T1 *, const T2 *, const T1 *, const T1 *, bool, int, int, long, long)"
0.0,232896,90,2587.7,2512.0,1600,4704,498.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,178209,30,5940.3,5920.0,5568,6400,192.8,"void transformer_engine::normalization::ln_fwd_tuned_kernel<transformer_engine::normalization::Kernel_traits<float, float, float, float, unsigned int, (unsigned int)768, (unsigned int)1, (unsigned int)4, (unsigned int)1, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)768, float, float, float, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::ForwardKernelParams)"
0.0,89056,30,2968.5,2976.0,2944,3072,28.7,"void transformer_engine::normalization::ln_bwd_finalize_tuned_kernel<transformer_engine::normalization::Kernel_traits_finalize<(unsigned int)768, float, float, float, float, unsigned int, (unsigned int)1024, (unsigned int)4, transformer_engine::normalization::Kernel_traits_base<(unsigned int)768, float, float, float, float, unsigned int, (unsigned int)1024>>>(transformer_engine::normalization::BackwardKernelParams)"
0.0,2656,1,2656.0,2656.0,2656,2656,0.0,"void at::native::triu_tril_kernel<bool, int, (bool)1, (int)8, (bool)0>(at::cuda::detail::TensorInfo<T1, T2>, at::cuda::detail::TensorInfo<const T1, T2>, long, long, T2)"
0.0,1536,1,1536.0,1536.0,1536,1536,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
